year_level,strand,topic,subtopic,skill,difficulty,marks,exam_year,paper,question_number,source_type,source,question_text,answer,accepted_answers,hint,explanation,image_url,active
6,number,Whole Numbers,Addition,Add large whole numbers,standard,2,2025,Paper 1,1,past_paper,PSR Mathematics Paper 1 2025,Evaluate: 875 296 + 23 401,898697,"898697|898,697",Line up the digits by place value before adding.,"875,296 + 23,401 = 898,697.",,True
6,number,Decimals,Subtraction,Subtract decimal numbers,standard,2,2025,Paper 1,2,past_paper,PSR Mathematics Paper 1 2025,Subtract 5.3 from 19.47.,14.17,14.17,Write 5.3 as 5.30 so the decimal points line up.,19.47 − 5.30 = 14.17.,,True
6,number,Fractions,Fraction of a quantity,Multiply a fraction by a whole number,standard,2,2025,Paper 1,3,past_paper,PSR Mathematics Paper 1 2025,Simplify: 5/8 × 48,30,30,"Divide 48 by 8 first, then multiply by 5.","48 ÷ 8 = 6, and 6 × 5 = 30.",,True
6,number,Fractions,Mixed and improper fractions,Convert a mixed number to an improper fraction,standard,2,2025,Paper 1,4,past_paper,PSR Mathematics Paper 1 2025,Express 4 5/9 as an improper fraction.,41/9,41/9,"Multiply the whole number by the denominator, then add the numerator.","4 × 9 = 36; 36 + 5 = 41, so 4 5/9 = 41/9.",,True
6,thinking,Patterns & Rules,Arithmetic sequences,Continue a constant-difference number pattern,standard,2,2025,Paper 1,5,past_paper,PSR Mathematics Paper 1 2025,"Fill in the missing numbers: 13, 26, __, __, 65, 78.","39, 52","39, 52|39,52|39 52",Find how much is added each time from 13 to 26.,"The pattern increases by 13: 13, 26, 39, 52, 65, 78.",,True
6,number,Powers & Roots,Squares and cube roots,Evaluate an expression involving powers and roots,challenge,2,2025,Paper 1,6,past_paper,PSR Mathematics Paper 1 2025,Find the value of 5² ÷ ∛1000.,2.5,2.5|2.50|5/2,Work out 5² and the cube root of 1000 separately.,5² = 25 and ∛1000 = 10. Therefore 25 ÷ 10 = 2.5.,,True
6,number,Algebra,Simplifying expressions,Collect like terms,challenge,2,2025,Paper 1,7,past_paper,PSR Mathematics Paper 1 2025,Simplify: 4x + 6y − 2x + 9 − 6y,2x + 9,2x+9|2x + 9|9 + 2x|9+2x,"Group the x terms, y terms and constant term separately.","4x − 2x = 2x and 6y − 6y = 0, leaving 2x + 9.",,True
6,measurement,Length,Metric conversion,Convert metres to centimetres,standard,2,2025,Paper 1,8,past_paper,PSR Mathematics Paper 1 2025,Convert 4.56 metres (m) to centimetres (cm).,456,456|456 cm|456cm,1 metre = 100 centimetres.,4.56 × 100 = 456 cm.,,True
6,measurement,Mass,Comparing measurements,Compare equivalent mass measures,standard,1,2025,Paper 1,9(a),past_paper,PSR Mathematics Paper 1 2025,"Fill in the correct symbol (<, > or =): 8.5 kg __ 8 500 g",=,=,Convert both measurements to the same unit.,"8.5 kg = 8,500 g, so the correct symbol is =.",,True
6,number,Decimals,Place value and comparison,Compare decimal values written in different forms,standard,1,2025,Paper 1,9(b),past_paper,PSR Mathematics Paper 1 2025,"Fill in the correct symbol (<, > or =): 17 hundredths __ 1.7",<,<,Write 17 hundredths as a decimal.,"17 hundredths = 0.17. Since 0.17 < 1.7, the correct symbol is <.",,True
6,number,Percentages,Percentage and fraction conversion,Express a percentage as a fraction in simplest form,standard,2,2025,Paper 1,10,past_paper,PSR Mathematics Paper 1 2025,Express 85% as a fraction in its simplest form.,17/20,17/20,"Write 85% as 85/100, then simplify.",85/100 ÷ 5/5 = 17/20.,,True
6,number,Whole Numbers,Multiplication,Multiply two whole numbers,standard,2,2025,Paper 1,11,past_paper,PSR Mathematics Paper 1 2025,Multiply 40 by 32.,1280,"1280|1,280","You can calculate 4 × 32 first, then multiply the result by 10.","4 × 32 = 128, so 40 × 32 = 1,280.",,True
6,number,Decimals,Place value,Construct a decimal from tenths and thousandths,standard,2,2025,Paper 1,12,past_paper,PSR Mathematics Paper 1 2025,Write 67 tenths and 5 thousandths as a decimal.,6.705,6.705,"Convert 67 tenths and 5 thousandths separately, then add them.",67 tenths = 6.7 and 5 thousandths = 0.005. Therefore 6.7 + 0.005 = 6.705.,,True
6,number,Whole Numbers,Rounding,Round a money amount to the nearest hundred,standard,2,2025,Paper 1,13,past_paper,PSR Mathematics Paper 1 2025,The price of a handphone is $1898. Round off the price to the nearest hundred dollars.,1900,"1900|1,900|$1900|$1,900","Look at the tens digit to decide whether 1,898 rounds up or down to the nearest hundred.","1,898 lies between 1,800 and 1,900. The tens digit is 9, so it rounds up to $1,900.",,True
6,number,"Fractions, Decimals & Percentages",Comparing and ordering,Order mixed number representations in descending order,standard,2,2025,Paper 1,14,past_paper,PSR Mathematics Paper 1 2025,"Arrange the following in descending order: 70%, 0.6, 3/10, 1.2","1.2, 70%, 0.6, 3/10","1.2,70%,0.6,3/10|1.2 70% 0.6 3/10",Convert the percentage and fraction to decimals so all four values can be compared.,"70% = 0.7 and 3/10 = 0.3. Therefore, in descending order: 1.2, 0.7, 0.6, 0.3, which is 1.2, 70%, 0.6, 3/10.",,True
6,number,Fractions,Fractions of shapes,Determine the unshaded fraction of a divided figure,standard,2,2025,Paper 1,15,past_paper,PSR Mathematics Paper 1 2025,What fraction of Figure 1 is unshaded? Express your answer in its simplest form.,3/4,3/4,"Count the total number of equal hexagons, then count how many are unshaded.","There are 12 equal hexagons. 3 are shaded, so 9 are unshaded. The unshaded fraction is 9/12 = 3/4.",images/psr_2025_p1_q15_diagram.png,True
6,number,Whole Numbers,Division,Divide a whole number by a multiple of 10,standard,2,2025,Paper 1,16,past_paper,PSR Mathematics Paper 1 2025,Divide 7680 by 30.,256,256,"Divide both 7,680 and 30 by 10 first.","7,680 ÷ 30 = 768 ÷ 3 = 256.",,True
6,number,Algebra,Substitution,Substitute a value into an algebraic expression and evaluate,standard,2,2025,Paper 1,17,past_paper,PSR Mathematics Paper 1 2025,"Evaluate 8w ÷ 4, given that w = 3.",6,6,Replace w with 3 before calculating.,8w ÷ 4 = 8 × 3 ÷ 4 = 24 ÷ 4 = 6.,,True
